,KIT0000896,KIT0000897,KIT0000642,KIT0000645,KIT0000647,KIT0000737,KIT0000285,KIT0000286,KIT0000949,KIT0000937,KIT0000938,KIT0000894,KIT0000895,KIT0000219,KIT0000933,KIT0000627,KIT0000581,KIT0000928,KIT0000365,KIT0000366,KIT0001042,KIT0000370,KIT0000445,KIT0000609,KIT0000905,KIT0000968,KIT0000468,KIT0000524,KIT0000563,KIT0000564,KIT0000565,KIT0000569,KIT0000994,KIT0000995,KIT0000975,KIT0000976,KIT0000978,KIT0001031,KIT0000417,KIT0000143,KIT0000144,KIT0000145,KIT0000146,KIT0000660,KIT0000868,KIT0000519,KIT0001030,KIT0000803,KIT0000854,KIT0001014,KIT0000467,KIT0000696,KIT0000170,KIT0001027,KIT0001028,KIT0000432,KIT0000860,KIT0000008,KIT0000010,KIT0000012,KIT0000013,KIT0000194,KIT0000195,KIT0000948,KIT0000953,KIT0000958,KIT0000985,KIT0001013,KIT0000582,KIT0001024,KIT0001017,KIT0000437,KIT0000296,KIT0000297,KIT0000355,KIT0000674,KIT0000503,KIT0000203,KIT0000204,KIT0000460,KIT0000461,KIT0000959,KIT0000560,KIT0000990,KIT0000526,KIT0000294,KIT0000414,KIT0001037,KIT0000084,KIT0000174,KIT0000175,KIT0000227,KIT0000228,KIT0000353,KIT0000784,KIT0000016,KIT0000123,KIT0000147,KIT0000177,KIT0000256,KIT0000298,KIT0000942,KIT0001002,KIT0001004,KIT0001008,KIT0000162,KIT0000201,KIT0000884,KIT0000268,KIT0001000,KIT0000885,KIT0000886,KIT0000887,KIT0000888,KIT0001025,KIT0001026
Mean,49.696969696969695,45.06060606060606,64.18181818181819,52.18181818181818,25.515151515151516,13.909090909090908,152.84848484848484,137.27272727272728,8.333333333333334,106.03030303030303,122.48484848484848,75.0,49.303030303030305,19.151515151515152,78.96969696969697,235.36363636363637,12.696969696969697,18.242424242424242,108.45454545454545,108.48484848484848,81.57575757575758,588.2424242424242,450.6363636363636,56.09090909090909,200.6060606060606,645.5757575757576,187.1818181818182,43.84848484848485,36.81818181818182,10.484848484848484,12.0,16.939393939393938,181.8181818181818,491.5151515151515,519.6969696969697,279.54545454545456,493.3333333333333,230.0,92.36363636363636,340.1818181818182,259.3030303030303,33.24242424242424,101.0909090909091,41.81818181818182,80.9090909090909,4471.515151515152,105.03030303030303,61.06060606060606,196.8181818181818,638.2424242424242,130.54545454545453,47.06060606060606,64.33333333333333,1806.060606060606,837.5757575757576,299.2121212121212,36.0,87.93939393939394,32.03030303030303,5.181818181818182,80.45454545454545,7.666666666666667,2.484848484848485,58.515151515151516,30.606060606060606,273.24242424242425,112.42424242424242,124.57575757575758,309.6969696969697,351.5151515151515,157.0909090909091,6.636363636363637,64.66666666666667,50.09090909090909,56.42424242424242,28.90909090909091,61.36363636363637,6.454545454545454,33.0,94.3030303030303,92.24242424242425,47.75757575757576,31.78787878787879,960.9090909090909,1120.969696969697,1363.6363636363637,342.42424242424244,4632.575757575758,66.78787878787878,42.15151515151515,36.78787878787879,7.212121212121212,4.0,19.696969696969695,10.757575757575758,114.72727272727273,7.181818181818182,24.424242424242426,35.84848484848485,114.54545454545455,821.8181818181819,26.0,33.93939393939394,54.63636363636363,56.21212121212121,27.09090909090909,238.6969696969697,35.60606060606061,27.303030303030305,234.15151515151516,92.33333333333333,37.96969696969697,53.21212121212121,53.57575757575758,81.24242424242425,25.87878787878788
Median,45.0,45.0,65.0,44.0,25.0,10.0,156.0,135.0,9.0,100.0,135.0,70.0,50.0,18.0,80.0,240.0,12.0,22.0,105.0,105.0,90.0,580.0,450.0,48.0,211.0,726.0,216.0,40.0,35.0,10.0,12.0,15.0,160.0,520.0,375.0,275.0,460.0,240.0,90.0,286.0,287.0,29.0,93.0,40.0,80.0,4700.0,110.0,60.0,195.0,619.0,121.0,50.0,65.0,1900.0,900.0,285.0,38.0,92.0,30.0,4.0,84.0,7.0,2.0,61.0,21.0,245.0,119.0,107.0,300.0,440.0,160.0,6.0,70.0,40.0,60.0,30.0,60.0,6.0,28.0,93.0,102.0,50.0,32.0,960.0,1090.0,1500.0,280.0,5550.0,61.0,43.0,37.0,5.0,4.0,15.0,10.0,112.0,6.0,25.0,40.0,120.0,840.0,22.0,30.0,60.0,57.0,25.0,250.0,38.0,29.0,240.0,96.0,38.0,53.0,53.0,81.0,27.0
Mode,40.0,40.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,90.0,50.0,0.0,50.0,240.0,0.0,0.0,93.0,95.0,0.0,350.0,270.0,20.0,111.0,220.0,0.0,40.0,32.0,10.0,15.0,14.0,160.0,560.0,250.0,150.0,460.0,300.0,60.0,135.0,120.0,0.0,70.0,22.0,100.0,0.0,100.0,30.0,0.0,547.0,110.0,40.0,55.0,2100.0,0.0,330.0,40.0,55.0,16.0,1.0,93.0,5.0,2.0,20.0,15.0,0.0,0.0,0.0,300.0,0.0,150.0,0.0,20.0,30.0,0.0,0.0,50.0,6.0,0.0,90.0,0.0,50.0,20.0,0.0,900.0,0.0,0.0,0.0,45.0,35.0,30.0,5.0,5.0,5.0,10.0,100.0,6.0,10.0,40.0,120.0,120.0,0.0,0.0,65.0,30.0,0.0,150.0,0.0,0.0,0.0,85.0,36.0,53.0,51.0,54.0,30.0
Minimum,0.0,0.0,0.0,0.0,0.0,0.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,37.0,0.0,350.0,256.0,0.0,73.0,220.0,0.0,8.0,10.0,1.0,0.0,2.0,0.0,60.0,0.0,0.0,160.0,0.0,0.0,30.0,50.0,0.0,5.0,5.0,25.0,0.0,0.0,10.0,0.0,277.0,40.0,0.0,31.0,400.0,0.0,40.0,0.0,5.0,10.0,0.0,5.0,2.0,0.0,20.0,0.0,0.0,0.0,0.0,120.0,0.0,35.0,0.0,10.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,21.0,20.0,20.0,19.0,1.0
Maximum,130.0,150.0,145.0,147.0,111.0,48.0,286.0,289.0,23.0,310.0,300.0,140.0,140.0,40.0,188.0,360.0,34.0,36.0,188.0,177.0,174.0,1064.0,642.0,152.0,329.0,1019.0,378.0,110.0,77.0,20.0,23.0,33.0,420.0,940.0,1700.0,525.0,940.0,460.0,250.0,762.0,446.0,137.0,227.0,79.0,120.0,7900.0,200.0,130.0,540.0,1052.0,250.0,101.0,112.0,2920.0,2320.0,564.0,90.0,146.0,101.0,20.0,134.0,14.0,9.0,101.0,89.0,808.0,246.0,325.0,600.0,640.0,310.0,32.0,129.0,155.0,116.0,60.0,129.0,18.0,65.0,183.0,180.0,78.0,68.0,2340.0,1800.0,2920.0,1440.0,7900.0,115.0,110.0,64.0,20.0,10.0,57.0,29.0,200.0,25.0,60.0,65.0,178.0,2040.0,100.0,80.0,99.0,105.0,62.0,460.0,69.0,65.0,510.0,130.0,55.0,87.0,74.0,135.0,49.0
Skewness,0.7645172476888928,1.007762285682518,0.1371880300279996,0.5952355188528466,1.8764359368757524,1.012937793752436,0.005178380372474098,0.1874515976202238,0.22885647782392646,0.49621994266752706,0.038571741356099754,-0.01667548020157689,0.9890361606449848,-0.06753028866772137,0.7053451555860379,-0.8687257153381176,0.4306732272626286,-0.19438436878116477,0.32470539848678365,0.026097487028484908,-0.49807322208390614,0.8207568682786344,-0.2204686640869965,1.0633152568059365,-0.0019163626200813738,-0.5452567968516168,-0.4016443249173752,0.6307284601397779,0.48675678325475624,0.06090391338965577,0.0015119037603584572,0.5843157953583746,0.3297465473986858,-0.1167650534472858,1.2940068587871632,-0.0913791833815005,0.5910531212653576,0.029791094901592714,0.5291249723418431,0.4292199645874883,-0.12969109287256955,1.599242548001897,0.6675530357451817,-0.003834087613166553,-0.7110712441592943,-0.5135703894352575,-0.2647265081628382,0.5285025843396362,0.3379985592804593,0.15461466546308464,0.2257223119385273,0.12288215820258146,0.4087172948620985,-0.36712610867828954,0.4349269694739852,0.22500949867573614,0.34696289878108666,-0.21721383870939312,1.4540120506795475,1.2333102760836867,-0.48047423409877565,0.21445924693293408,1.3938261908328433,-0.11730707310638287,1.1534074072774334,0.6287287987222699,0.0780152618643212,0.6381596393897443,0.7049300149283878,-0.4099136407878446,0.01249385747102957,1.9100427416345815,0.274772467825929,0.9103746216421478,-0.28152641241580334,-0.21651845303998035,0.943744032388255,0.7473942782849383,0.07712527690929323,0.10180946864962906,-0.4642194349003506,-0.60063392675144,0.6884377269138471,0.4180442333988945,-0.1292250011551156,0.05388499020945941,1.3649417635957808,-1.124203943004385,-0.09452618485875966,0.3823735895105645,0.07305469224493695,0.6515919889041512,0.13591285151521573,0.7202493942968344,0.47802594340175114,0.05404101122813081,1.251929620974206,0.0956265572362977,-0.5986909687164907,-0.5058054565648448,0.30144696902116125,1.2588019166203217,0.19649998557425047,-0.31361443541552353,0.005306291703037842,0.0216770566053319,-0.400752664586029,-0.12114505834538412,-0.03458286171002114,-0.10017606778093383,-0.48974283398991436,-0.0934703502475285,-0.1117756486160745,-0.5990926934056249,-0.016463462477449727,-0.3077627650781707
Kurtosis,1.420190713034338,3.4443701874124812,-0.03277579004063158,-0.27302569945309463,5.006364754416614,0.6987983094988799,-0.5046595865827541,-0.7830944524343106,-0.17811548248125897,0.09595235687885184,-0.8582844717392644,0.31741264041306927,2.1281443590490188,-1.0703457390759838,0.9571270481875094,0.983056158323111,-0.34520922655931896,-1.2651470297566432,0.4947625790134653,0.30446457919274783,0.05264667318193306,0.5372532407325941,-0.42775518714209104,0.4483797503193303,-1.1558434497748231,-0.6720527912834671,-0.9871136602635944,-0.21864775041712736,0.5245141546788994,-0.17574046730802095,-0.05457785698373785,0.5112850389467893,-0.714816542578296,-0.4050337315256898,0.9926905389878455,0.225793847088108,-0.008315530209837885,0.16863685206660417,-0.021239216023604346,-0.8688839627958873,-1.3891852485529248,3.608341292951536,-0.21894207614719408,-0.7404905580956038,0.0017248421121864865,-0.6338992024878181,-0.2315209002521743,-0.33043185723148527,-0.4577958781086373,-0.5839958729188011,-0.20861935527730502,-0.29023323916543164,0.37193590563285905,-0.6993730310085442,-0.5689375003391053,-0.6380814759174593,-0.6516146808439203,-0.9454839867056339,2.8507045551859633,1.3955799584803312,-0.5210863074229066,-0.5918181818181818,3.1016106688916327,-0.06408800281050775,0.44173398671222985,-0.4329820819590302,-0.4073007704736944,-0.0678629583631305,0.046923824865269026,-1.1400321680039667,-0.14360994537677874,5.1054638803665,-0.6155615869820874,1.5431743752174283,-0.9707590345805523,-0.21005839986809294,0.9413353754860072,-0.19587357374481407,-1.2926260741697764,-0.17178338344296096,-0.6906408040079146,0.03318495788183773,-0.03350740835470489,-0.8247127820555287,0.18573332948020083,-1.0094466533986308,2.4815887725181494,0.28128601081936955,-0.5735064277686845,1.9102257151455087,-0.7429088585216088,0.191848755761856,-0.4722448979591838,-0.18439123161068682,-0.2941117619893645,0.36621179789445124,1.395025035704811,-0.5605685212963376,-0.10235885313158821,-0.45292000511966046,-0.4655909547339592,2.117587457535686,-0.7029904709889174,-0.9929772690511496,-0.7280274808143634,-0.4853102385607029,0.45184690308530895,-1.2101679476064922,-0.7961531927313019,-0.6518669083223321,0.0032698921252545254,-0.7892151630450956,-0.8096133386999771,0.045171659359374505,-0.2322388690060273,0.09211236963847025
Standard Deviation,28.282597176184215,29.183620613645804,36.585050349711274,39.748785001442606,22.660705544125843,11.617238366872192,66.75286567449803,70.68692980639734,5.715476066494083,76.82263861017991,83.06139341329146,33.42341993273579,27.408352796735212,12.39738181059113,36.95054536850983,83.24580251498352,8.509130568413145,11.087803837523188,32.58651073401664,31.33500559689715,41.665356039993156,164.82718796951974,98.90614812216496,37.82307797195685,73.48806850177253,214.1265733017259,115.59072587838052,24.955111215091307,14.483729115490565,4.39546081288137,5.0124844139408555,6.552382171486346,117.51208835303247,206.33893858348108,434.53268611582064,109.4543543300959,182.93896978682992,101.58124826955022,58.52393643940603,197.19207871791127,115.46684720312712,28.525241347609906,52.98960018034414,18.653844351524675,22.688603466778808,2303.9695652451137,50.06900541283303,31.04325550133575,140.7003585961703,195.2535259449606,49.60537452553082,24.501198177256803,17.584913041202867,637.2692690002565,653.2755463002877,123.71710612718375,25.607616054603756,38.649821631169424,19.35440009481831,4.726617087400786,34.05059737828665,3.0276503540974917,1.8221075043958732,18.962333077909367,23.1097103426506,226.80980885742,66.0790389907374,87.09227516800439,122.65003181014795,218.8367144145552,64.45122362897952,6.513534859324571,31.558147389646727,32.29779756071189,31.958987686398864,14.761359262369007,25.083383670542464,4.717592799106534,20.706279240848655,42.397291222792795,50.05498870182066,17.583782128410085,15.051489909136853,691.3635242962075,321.2749489191934,879.1253401173029,316.49476993141514,2149.1684879026907,28.47230845022666,21.553887717940253,12.812975785696644,4.648639422976198,2.5617376914898995,14.869189723394582,7.211233870801442,38.89269912791533,6.105604727699713,14.993811854875128,17.42505597573723,41.082303755001156,516.2451848773903,22.111931168489107,22.420609093448203,26.649130123957825,25.727851610362816,15.703032422838822,99.31813934538998,21.308653456312346,16.951188838258602,136.78887043819603,21.12857464824986,8.72670058099297,18.679463281498442,12.520059661974216,27.44885050306103,10.141984445109768
Variance,799.9053030303032,851.6837121212122,1338.4659090909088,1579.9659090909088,513.5075757575758,134.96022727272728,4455.945075757576,4996.642045454545,32.66666666666667,5901.717803030304,6899.195075757576,1117.125,751.217803030303,153.69507575757578,1365.342803030303,6929.863636363636,72.40530303030302,122.93939393939392,1061.8806818181818,981.8825757575758,1736.001893939394,27168.001893939396,9782.426136363636,1430.5852272727275,5400.496212121212,45850.18939393939,13361.21590909091,622.7575757575759,209.7784090909091,19.320075757575758,25.125,42.933712121212125,13809.090909090908,42575.757575757576,188818.6553030303,11980.255681818182,33466.666666666664,10318.75,3425.0511363636365,38884.71590909091,13332.592803030304,813.6893939393939,2807.8977272727275,347.96590909090907,514.7727272727274,5308275.757575758,2506.905303030303,963.6837121212122,19796.59090909091,38123.93939393939,2460.693181818182,600.3087121212121,309.22916666666663,406112.1212121212,426768.9393939394,15305.922348484848,655.75,1493.808712121212,374.592803030303,22.34090909090909,1159.443181818182,9.166666666666668,3.3200757575757573,359.57007575757575,534.0587121212121,51442.68939393939,4366.439393939394,7585.064393939394,15043.030303030304,47889.50757575758,4153.960227272728,42.42613636363637,995.9166666666666,1043.147727272727,1021.3768939393941,217.89772727272728,629.1761363636363,22.25568181818182,428.75,1797.530303030303,2505.501893939394,309.18939393939394,226.54734848484853,477983.5227272727,103217.5928030303,772861.3636363635,100168.93939393939,4618925.1893939385,810.6723484848485,464.5700757575757,164.1723484848485,21.609848484848484,6.5625,221.09280303030306,52.00189393939394,1512.6420454545455,37.278409090909086,224.81439393939394,303.63257575757575,1687.755681818182,266509.0909090909,488.9375,502.6837121212122,710.1761363636364,661.9223484848485,246.58522727272728,9864.092803030302,454.05871212121207,287.342803030303,18711.195075757576,446.41666666666663,76.15530303030303,348.9223484848485,156.7518939393939,753.4393939393938,102.8598484848485
